VISDATA
19
0 0
1 0
2 14  7 4 9 11 8 3 14 13 12 5 15 16 17 18 
3 14  5 9 2 11 7 4 14 8 13 12 15 16 17 18 
4 14  2 5 3 9 11 8 7 14 13 12 15 16 17 18 
5 14  7 4 3 8 9 14 11 2 13 12 15 16 17 18 
6 0
7 14  2 5 9 8 14 3 11 4 12 13 17 16 15 18 
8 14  2 5 7 3 9 4 14 17 13 11 16 12 15 18 
9 14  2 13 7 3 5 11 12 4 8 14 15 16 17 18 
10 0
11 14  12 14 2 3 9 15 4 7 5 13 16 18 8 17 
12 14  11 15 14 16 13 9 2 18 7 3 17 4 5 8 
13 14  9 12 2 15 3 7 11 5 4 14 16 8 18 17 
14 14  12 11 7 2 16 15 17 3 18 5 9 4 8 13 
15 14  16 12 18 17 11 14 13 9 7 8 2 5 3 4 
16 14  15 17 12 18 14 7 11 13 9 8 2 5 3 4 
17 14  16 18 15 14 7 12 8 9 13 11 2 5 3 4 
18 14  15 17 16 12 14 11 7 13 9 8 2 5 3 4 
